,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
8828|SUZ12,9.48044707045206e-14,Mus musculus,SUZ12,cr,,Embryonic Stem Cell,Embryo,1.0,SUZ12
41872|EZH2,1.2671598294440125e-11,Mus musculus,EZH2,cr,E14,Embryonic Stem Cell,Embryo,1.0,EZH2
43419|KMT2B,1.1329927350737404e-10,Mus musculus,KMT2B,cr,E14,Embryonic Stem Cell,Embryo,1.0,KMT2B
35897|H2AZ,1.435266404343076e-10,Mus musculus,H2AZ,predicted chromatin regulator,,B Lymphocyte,,1.0,H2AZ
56642|RNF2,7.585285131154809e-10,Mus musculus,RNF2,predicted transcription factor,E14Tg2A,Embryonic Stem Cell,,1.0,RNF2
58293|NRF1,1.87654106093537e-09,Mus musculus,NRF1,tf,,Embryonic Stem Cell,Embryo,1.0,NRF1
50164|CHRM2,3.8696266329350185e-09,Mus musculus,CHRM2,predicted chromatin regulator,,,Limb Bud,1.0,CHRM2
53132|ZFP57,4.5468526534139285e-09,Mus musculus,ZFP57,tf,,Embryonic Stem Cell,,1.0,ZFP57
4405|MTF2,4.882495551126779e-09,Mus musculus,MTF2,cr,,Embryonic Stem Cell,Embryo,1.0,MTF2
43659|UTF1,5.733912523886492e-09,Mus musculus,UTF1,tf,KH2,Embryonic Stem Cell,Embryo,1.0,UTF1
8907|TBX3,6.886570404186433e-09,Mus musculus,TBX3,tf,,Myocyte,Heart,1.0,TBX3
53113|TCF12,7.0124520437973576e-09,Mus musculus,TCF12,tf,,Embryonic Stem Cell,Embryo,1.0,TCF12
52674|C17orf96,1.5987505993969703e-08,Mus musculus,C17orf96,not sure,E14,Embryonic Stem Cell,Embryo,1.0,C17orf96
40271|FOXA2,1.7386177557968188e-08,Mus musculus,FOXA2,tf,,,Pancreas,1.0,FOXA2
39791|T,2.5581000342488136e-08,Mus musculus,T,tf,,,Testis,1.0,T
41581|AR,4.2339718136004484e-08,Mus musculus,AR,tf,,Epithelium,Prostate,1.0,AR
48329|SPI1,5.0192836574887216e-08,Mus musculus,SPI1,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,SPI1
47291|FEZF2,7.642167728901009e-08,Mus musculus,FEZF2,tf,,Neurosphere,,1.0,FEZF2
457|TET1,1.1730205377707028e-07,Mus musculus,TET1,cr,E14,Embryonic Stem Cell,Embryo,1.0,TET1
34027|KDM2B,1.3323961631281012e-07,Mus musculus,KDM2B,cr,,Embryonic Stem Cell,Embryo,1.0,KDM2B
4404|JARID2,1.402607472507543e-07,Mus musculus,JARID2,cr,,Embryonic Stem Cell,Embryo,1.0,JARID2
59428|HEY1,1.6234637600642695e-07,Mus musculus,HEY1,tf,,Embryonic Stem Cell,Embryo,1.0,HEY1
38475|CBX7,1.6760695315595535e-07,Mus musculus,CBX7,cr,E14,Embryonic Stem Cell,Embryo,1.0,CBX7
52523|TFAP2C,3.8660626458573603e-07,Mus musculus,TFAP2C,predicted transcription factor,,,Mammary Gland,1.0,TFAP2C
8980|MEN1,4.38371942434434e-07,Mus musculus,MEN1,tf,3.2N,Embryonic Stem Cell,Embryo,1.0,MEN1
41316|KDM4C,7.876880646309844e-07,Mus musculus,KDM4C,cr,,Embryonic Stem Cell,Embryo,1.0,KDM4C
35602|5HMC,1.472421242628222e-06,Mus musculus,5HMC,other,E14,Embryonic Stem Cell,Embryo,1.0,5HMC
44342|KLF5,1.7369583785456218e-06,Mus musculus,KLF5,tf,CGR8,Embryonic Stem Cell,Embryo,1.0,KLF5
56133|RBFOX2,2.0256570438020903e-06,Mus musculus,RBFOX2,other,,,Heart,1.0,RBFOX2
53170|DPPA2,2.0990660782021808e-06,Mus musculus,DPPA2,predicted chromatin regulator,CGR8,Embryonic Stem Cell,Embryo,1.0,DPPA2
44217|SMARCA4,2.81626427174215e-06,Mus musculus,SMARCA4,cr,,Epithelium,Midbrain,1.0,SMARCA4
34039|NANOG,3.6026380353881813e-06,Mus musculus,NANOG,tf,,Embryonic Stem Cell,Embryo,1.0,NANOG
8910|NKX2-5,1.0378425503220167e-05,Mus musculus,NKX2-5,tf,,Myocyte,Heart,1.0,NKX2-5
50683|RFX6,1.1337522863821225e-05,Mus musculus,RFX6,tf,MIN6B1,Beta cell,Pancreas,1.0,RFX6
39131|nan,2.001482135812525e-05,,,,,,,,nan
32786|BMI1,2.783257893259649e-05,Mus musculus,BMI1,cr,,Glioma Initiating Cell,,1.0,BMI1
8304|KDM1A,3.37416289999368e-05,Mus musculus,KDM1A,cr,V6.5,Embryonic Stem Cell,Embryo,1.0,KDM1A
55425|NEUROD2,3.563858910042436e-05,Mus musculus,NEUROD2,tf,,Embryonic Cortex,Brain,1.0,NEUROD2
44274|SREBF1,5.177121046382186e-05,Mus musculus,SREBF1,tf,,Epithelium,Liver,1.0,SREBF1
52796|RXRA,5.677371481699218e-05,Mus musculus,RXRA,tf,,Embryonic Stem Cell,Embryo,1.0,RXRA
2907|NELFA,5.901574458388528e-05,Mus musculus,NELFA,not sure,V6.5,Embryonic Stem Cell,Embryo,1.0,NELFA
36824|PITX1,6.458362756547169e-05,Mus musculus,PITX1,tf,,Epithelium,Embryonic Hindlimb Bud,1.0,PITX1
47349|REST,8.908868959256015e-05,Mus musculus,REST,tf,,Embryonic Stem Cell,Embryo,1.0,REST
36731|RARG,9.075500543230052e-05,Mus musculus,RARG,tf,F9,,Embryo,1.0,RARG
9024|NR3C1,0.0001092571640052934,Mus musculus,NR3C1,tf,AtT-20,Corticotroph,Brain,1.0,NR3C1
5761|TBP,0.00011452338128611904,Mus musculus,TBP,tf,V6.5,Embryonic Stem Cell,Embryo,1.0,TBP
48516|OTX2,0.00013741964307274147,Mus musculus,OTX2,tf,,Embryonic Stem Cell,Embryo,1.0,OTX2
53115|SMAD2/3,0.00013787985424538698,Mus musculus,SMAD2/3,tf,,,Endoderm,1.0,SMAD2/3
4606|TAF3,0.00017992918909264367,Mus musculus,TAF3,cr,,Embryonic Stem Cell,Embryo,1.0,TAF3
40276|RBPJL,0.00018236913294188348,Mus musculus,RBPJL,tf,,,Pancreas,1.0,RBPJL
5372|SS18,0.000198965991156714,Mus musculus,SS18,not sure,C2C12,Myoblast,Muscle,1.0,SS18
44552|KLF4,0.0002021732045043002,Mus musculus,KLF4,tf,CGR8,Embryonic Stem Cell,Embryo,1.0,KLF4
9283|DMC1,0.0002032971496886153,Mus musculus,DMC1,not sure,,,Testis,1.0,DMC1
51962|ASCL1,0.00021591153563601447,Mus musculus,ASCL1,tf,AtT-20,,,0.0,ASCL1
39128|KAT8,0.00022770136079224628,Mus musculus,KAT8,cr,,Embryonic Stem Cell,Embryo,1.0,KAT8
58851|MTA2,0.0002282177115076725,Mus musculus,MTA2,tf,,Thymocyte,Thymus,1.0,MTA2
51763|SOX2,0.00022977332697166582,Mus musculus,SOX2,tf,,Multipotent progenitor cell,Otic,1.0,SOX2
40277|PTF1A,0.00024234476587779532,Mus musculus,PTF1A,tf,,,Pancreas,0.0,PTF1A
54219|EBF1,0.0002691762354775269,Mus musculus,EBF1,tf,,Pre-B Lymphocyte,,1.0,EBF1
5412|NOTCH1,0.00031700235397005936,Mus musculus,NOTCH1,both predicted transcription factor and chromatin regulator,,T Lymphocyte,Lymph Node,1.0,NOTCH1
54374|STAT1,0.0003248130800288778,Mus musculus,STAT1,tf,,T Lymphocyte,Spleen,1.0,STAT1
8831|PHF19,0.00036148963599507545,Mus musculus,PHF19,cr,E14,Embryonic Stem Cell,Embryo,1.0,PHF19
51323|ZIC1/2,0.00039294966895580754,Mus musculus,ZIC1/2,other,,,Cerebellum,1.0,ZIC1/2
39108|CTCF,0.0003978759675485983,Mus musculus,CTCF,tf,,B Lymphocyte,,1.0,CTCF
55109|PPARG,0.0003982477409859032,Mus musculus,PPARG,tf,,,Epididymal White Adipose Tissue,1.0,PPARG
2984|AFF4,0.00041120922592563757,Mus musculus,AFF4,tf,,Embryonic Stem Cell,Embryo,1.0,AFF4
37400|PR,0.0004264067194714745,Mus musculus,PR,predicted transcription factor,,,Uterus,1.0,PR
55698|EZH1,0.0004458261765973456,Mus musculus,EZH1,cr,,,Mammary Gland,1.0,EZH1
54181|SOX9,0.00045192145766097166,Mus musculus,SOX9,tf,,Chondrocyte,Nasal septum ,1.0,SOX9
9260|HDAC2,0.00045654350460734637,Mus musculus,HDAC2,cr,,Myoblast,Skeletal Muscle,1.0,HDAC2
1533|TBX5,0.0004606414279899372,Mus musculus,TBX5,tf,HL-1,Cardiomyocyte,Muscle,1.0,TBX5
177|RXRG,0.0004907463154284853,Mus musculus,RXRG,tf,3T3-L1,Preadipocyte,Adipose,1.0,RXRG
50030|NFATC1,0.0004977129889312584,Mus musculus,NFATC1,tf,,,Pancreas,1.0,NFATC1
47684|GATA4,0.0005043080058665696,Mus musculus,GATA4,tf,,Epithelium,Heart,1.0,GATA4
41584|FOXA1,0.0005331274618501818,Mus musculus,FOXA1,tf,,Epithelium,Prostate,1.0,FOXA1
